,product_code,product_name
17,920992,"PARTS AND ACCESSORIES FOR STRING MUSICAL INSTRUMENTS, NESOI"
18,854690,"ELECTRICAL INSULATORS, NESOI"
19,940159,"SEATS OF CANE, OSIER OR SIMILAR MATERIALS, NESOI"
20,902150,PACEMAKERS FOR STIMULATING HEART MUSCLES
21,842230,"MACHINERY FOR FILLING, CLOSING, SEALING, CAPSULING OR LABELING BOTTLES, CANS, BOXES OR OTHER CONTAINERS; MACHINERY FOR AERATING BEVERAGES"
22,842410,"FIRE EXTINGUISHERS, WHETHER OR NOT CHARGED"
23,851821,"SINGLE LOUDSPEAKERS, MOUNTED IN THEIR ENCLOSURES"
24,030634,"NORWAY LOBSTERS (NEPHROPS NORVEGICUS), LIVE, FRESH OR CHILLED"
25,090822,"MACE, CRUSHED OR GROUND"
26,120923,FESCUE SEEDS OF A KIND USED FOR SOWING
27,283510,PHOSPHINATES (HYPOPHOSPHITES) AND PHOSPHONATES (PHOSPHITES)
28,283719,"CYANIDES AND CYANIDE OXIDES, NESOI"
29,282732,ALUMINUM CHLORIDE
30,290559,"HALOGENATED, SULFONATED, NITRATED OR NITROSATED DERIVATIVES OF ACYCLIC ALCOHOLS, NESOI"
31,291211,METHANAL (FORMALDEHYDE)
32,292800,ORGANIC DERIVATIVES OF HYDRAZINE OR HYDROXYLAMINE
33,340510,"POLISHES, CREAMS AND SIMILAR PREPARATIONS FOR FOOTWEAR OR LEATHER"
34,400280,"MIXTURES OF NATURAL RUBBER OR SIMILAR NATURAL GUMS WITH SYNTHETIC RUBBER AND FACTICE DERIVED FROM OILS, IN PRIMARY FORMS OR IN PLATES, SHEETS OR STRIP"
35,690490,"CERAMIC FLOORING BLOCKS, SUPPORT OR FILLER TILES AND THE LIKE, EXCEPT BUILDING BRICKS"
36,730240,RAILWAY OR TRAMWAY TRACK FISH-PLATES AND SOLE PLATES OF IRON OR STEEL
37,731450,EXPANDED METAL OF IRON OR STEEL
38,731512,"ARTICULATED LINK CHAIN OTHER THAN ROLLER CHAIN, OF IRON OR STEEL"
39,731990,"KNITTING NEEDLES, BODKINS, CROCHET HOOKS, EMBROIDERY STILETTOS AND SIMILAR ARTICLES FOR USE IN THE HAND, OF IRON OR STEEL, NESOI"
40,711890,"COIN, NESOI"
41,721410,"BARS AND RODS OF IRON OR NONALLOY STEEL, FORGED"
42,510130,"WOOL, NOT CARDED OR COMBED, CARBONIZED"
43,540832,"WOVEN FABRICS OF ARTIFICIAL FILAMENTS NESOI, INCLUDING MIXED FABRICS NESOI, DYED"
44,540833,"WOVEN FABRICS OF ARTIFICIAL FILAMENTS NESOI, INCLUDING MIXED FABRICS NESOI, OF DIFFERENT COLORED YARNS"
45,560393,"NONWOVENS, WHETHER OR NOT IMPREGNATED, COATED, COVERED OR LAMINATED; NOT OF MANMADE FILAMENTS; WEIGHING MORE THAN 70 G/M2 BUT LESS THAN 150 G/M2"
46,570241,"CARPETS AND OTHER TEXTILE FLOOR COVERINGS, WOVEN, NOT TUFTED OR FLOCKED, NESOI, OF PILE CONSTRUCTION, MADE-UP, OF WOOL OR FINE ANIMAL HAIR"
47,860310,"SELF-PROPELLED RAILWAY OR TRAMWAY COACHES, VANS AND TRUCKS (EXCEPT RAILWAY OR TRAMWAY MAINTENANCE OR SERVICE VEHICLES), POWERED EXTERNALLY, ELECTRIC"
48,870290,"MOTOR VEHICLES FOR THE TRANSPORT OF TEN OR MORE PERSONS, NESOI"
49,851150,"INTERNAL COMBUSTION ENGINE GENERATORS, NES0I"
50,851770,"PARTS OF TELEPHONE SETS AND OTHER APPARATUS FOR THE TRANSMISSION OR RECEPTION OF VOICE, IMAGES OR OTHER DATA"
51,844540,TEXTILE WINDING (INCLUDING WEFT WINDING) OR REELING MACHINES
52,150300,"LARD STEARIN, LARD OIL, OLEOSTEARIN, OLEO-OIL AND TALLOW OIL, NOT EMULSIFIED OR MIXED OR OTHERWISE PREPARED"
53,200819,"NUTS (OTHER THAN PEANUTS (GROUND-NUTS)), AND OTHER SEEDS, INCLUDING MIXTURES, PREPARED OR PRESERVED, NESOI"
54,282810,COMMERCIAL CALCIUM HYPOCHLORITE AND OTHER CALCIUM HYPOCHLORITES
55,283524,POTASSIUM PHOSPHATE
56,280130,FLUORINE; BROMINE
57,282550,COPPER OXIDES AND HYDROXIDES
58,282749,"CHLORIDE OXIDES AND CHLORIDE HYDROXIDES, NESOI"
59,381210,PREPARED RUBBER ACCELERATORS
60,381400,"ORGANIC COMPOSITE SOLVENTS AND THINNERS, NESOI; PREPARED PAINT OR VARNISH REMOVERS"
61,391590,"WASTE, PARINGS AND SCRAP, OF PLASTICS, NESOI"
62,392111,"PLATES, SHEETS, FILM, FOIL AND STRIP OF PLASTICS NESOI, CELLULAR POLYMERS OF STYRENE"
63,400599,"COMPOUNDED RUBBER, UNVULCANIZED, IN PRIMARY FORMS, NESOI"
64,600621,"KNITTED OR CROCHETED FABRICS, OF COTTON, UNBLEACHED OR BLEACHED, NESOI"
65,610423,"WOMEN'S OR GIRLS' ENSEMBLES OF SYNTHETIC FIBERS, KNITTED OR CROCHETED"
66,740610,COPPER POWDERS OF NON-LAMELLAR STRUCTURE
67,482340,"ROLLS, SHEETS AND DIALS, PRINTED FOR SELF-RECORDING APPARATUS, CUT TO SIZE OR SHAPE, OF PAPER OR PAPERBOARD"
68,540233,"SYNTHETIC FILAMENT YARN OTHER THAN SEWING THREAD, NOT PUT UP FOR RETAIL SALE, TEXTURED YARN OF POLYESTERS"
69,440321,"WOOD IN THE ROUGH OF PINE, OF WHICH ANY CROSS SECTION DIMENSION IS 15CM OR MORE"
70,440712,"FIR WOOD SAWN OR CHIPPED LENGTHWISE, SLICED OR PEELED, OF A THICKNESS EXCEEDING 6MM"
71,560490,"MANMADE TEXTILE YARN OF 67 DECITEX OR MORE, NO CROSS-SECTIONAL DIMENSION OVER 1 MM AND STRIP NOT OVER 5 MM WIDE, RUBBER OR PLASTICS COATED ETC., NESOI"
72,570299,"CARPETS AND OTHER TEXTILE FLOOR COVERINGS, WOVEN, NOT TUFTED OR FLOCKED, NESOI, NOT OF PILE CONSTRUCTION, MADE-UP, OF TEXTILE MATERIALS NESOI"
73,521212,"WOVEN FABRICS OF COTTON, LESS THAN 85% COTTON BY WEIGHT NESOI, BLEACHED, WEIGHING NOT OVER 200 G/M2"
74,950661,LAWN-TENNIS BALLS
75,901831,"SYRINGES, WITH OR WITHOUT NEEDLES; PARTS AND ACCESSORIES THEREOF"
76,854011,"CATHODE-RAY TELEVISION PICTURE TUBES, COLOR, INCLUDING VIDEO MONITOR CATHODE-RAY TUBES"
77,850164,"AC GENERATORS (ALTERNATORS), OF AN OUTPUT EXCEEDING 750 KVA"
78,842840,ESCALATORS AND MOVING WALKWAYS
79,846610,TOOL HOLDERS AND SELF-OPENING DIEHEADS FOR MACHINES OR ANY TYPE OF TOOL FOR WORKING IN THE HAND
80,830810,"HOOKS, EYES AND EYELETS, OF BASE METAL"
81,853224,"FIXED CAPACITORS NESOI, MULTILAYER CERAMIC DIELECTRIC"
82,853329,"FIXED RESISTORS, NESOI, FOR A POWER HANDLING CAPACITY EXCEEDING 20 W"
83,841780,"INDUSTRIAL OR LABORATORY FURNACES AND OVENS, INCLUDING INCINERATORS, NONELECTRIC, NESOI"
84,030439,"CARP (CYPRINUS CARPIO, CARASSIUS CARASSIUS, CTENOPHARYNGODON IDELLUS, HYPOPHTHALMICHTHYS SPP., ETC.) AND EEL (ANGUILLA SPP.) FILLETS, FRESH OR CHILLED"
85,200811,"PEANUTS (GROUND-NUTS), PREPARED OR PRESERVED, NESOI, INCLUDING PEANUT BUTTER"
86,282731,MAGNESIUM CHLORIDE
87,290519,"SATURATED MONOHYDRIC ALCOHOLS, NESOI"
88,290629,"AROMATIC ALCOHOLS AND THEIR HALOGENATED, SULFONATED, NITRATED OR NITROSATED DERIVATIVES, NESOI"
89,291720,"CYCLANIC, CYCLENIC OR CYCLOTERPENIC POLYCARBOXYLIC ACIDS, THEIR ANHYDRIDES, HALIDES, PEROXIDES, PEROXYACIDS AND THEIR DERIVATIVES"
90,320412,"ACID DYES, WHETHER OR NOT PREMETALLIZED, AND PREPARATIONS BASED THEREON; MORDANT DYES AND PREPARATIONS BASED THEREON"
91,360100,PROPELLANT POWDERS
92,381090,"FLUXES AND OTHER AUXILIARY PREPARATIONS FOR SOLDERING, BRAZING OR WELDING, NESOI; PREPARED CORES OR COATINGS FOR WELDING ELECTRODES OR RODS"
93,390390,"POLYMERS OF STYRENE NESOI, IN PRIMARY FORMS"
94,401693,"GASKETS, WASHERS AND OTHER SEALS, OF VULCANIZED RUBBER OTHER THAN HARD RUBBER"
95,730630,"PIPES, TUBES AND HOLLOW PROFILES NESOI, WELDED, OF CIRCULAR CROSS SECTION, OF IRON OR NONALLOY STEEL"
96,710229,"DIAMONDS, INDUSTRIAL, WORKED"
97,611699,"GLOVES NESOI, MITTENS AND MITTS, OF TEXTILE MATERIALS NESOI, KNITTED OR CROCHETED"
98,581092,"EMBROIDERY IN THE PIECE, IN STRIPS OR IN MOTIFS, NESOI, OF MANMADE FIBERS"
99,441233,"PLYWOOD, VENEERED PANELS, SIM LAMINATD WOOD, NES, AT LEAST ONE OUTER PLY OF NONCONIFEROUS WOOD OF THE SPECIES SPECIFIED IN THIS SUBHEADING"
100,441294,"BLOCKBOARD, LAMINBOARD AND BATTENBOARD, OTHER THAN OF BAMBOO"
101,511211,"WOVEN FABRICS CONTAINING 85% OR MORE BY WEIGHT OF COMBED WOOL OR FINE ANIMAL HAIR, NOT OVER 200 G/M2"
102,470100,MECHANICAL WOODPULP
103,890590,"LIGHT VESSELS, FIRE FLOATS, FLOATING CRANES AND OTHER VESSELS WITH NAVIGABILIITY NOT THE MAIN FUNCTION, NESOI; FLOATING DOCKS"
104,871494,"BRAKES, INCLUDING COASTER BRAKING HUBS AND HUB BRAKES AND PARTS THERE OF, FOR BICYCLES AND OTHER CYCLES NESOI"
105,871640,"TRAILERS AND SEMI-TRAILERS, NESOI"
106,850434,"ELECTRICAL TRANSFORMERS NESOI, HAVING A POWER HANDLING CAPACITY EXCEEDING 500 KVA"
107,850650,"PRIMARY CELLS AND PRIMARY BATTERIES, LITHIUM"
108,843041,"BORING OR SINKING MACHINERY, NESOI, SELF-PROPELLED"
109,851511,ELECTRIC SOLDERING IRONS AND GUNS
110,851680,ELECTRIC HEATING RESISTORS
111,840790,"SPARK-IGNITION RECIPROCATING OR ROTARY INTERNAL COMBUSTION PISTON ENGINES, NESOI"
112,030191,"TROUT (SALMO TRUTTA, SALMO GAIRDNERI, SALMO CLARKI, SALMO AGUABONITA, SALMO GILAE), LIVE"
113,030354,"MACKEREL (SCOMBER SCOMBRUS, SCOMBER AUSTRALASICUS, SCOMBER JAPONICUS), FROZEN"
114,030494,"ALASKA POLLOCK (THERAGA CHALCOGRAMMA), FROZEN, EXCEPT FILLETS"
115,070930,"EGGPLANTS (AUBERGINES), FRESH OR CHILLED"
116,080132,"CASHEW NUTS, FRESH OR DRIED, SHELLED"
117,080251,"PISTACHIOS, IN SHELL, FRESH OR DRIED"
118,200860,"CHERRIES, PREPARED OR PRESERVED, WHETHER OR NOT CONTAINING ADDED SWEETENING OR SPIRIT, NESOI"
119,261590,"NIOBIUM, TANTALUM AND VANADIUM ORES AND CONCENTRATES"
120,281520,POTASSIUM HYDROXIDE (CAUSTIC POTASH)
121,291619,"UNSATURATED ACYCLIC MONOCARBOXYLIC ACIDS, THEIR ANHYDRIDES, HALIDES, PEROXIDES, PEROXYACIDS AND THEIR DERIVATIVES, NESOI"
122,293621,"VITAMINS A AND THEIR DERIVATIVES, UNMIXED"
123,620452,"WOMEN'S OR GIRLS' SKIRTS AND DIVIDED SKIRTS OF COTTON, NOT KNITTED OR CROCHETED"
124,730429,"CASING AND TUBING OF A KIND USED IN DRILLING FOR OIL OR GAS, OF IRON (EXCEPT CAST IRON) OR STEEL"
125,700719,"TOUGHENED (TEMPERED) SAFETY GLASS, NOT SUITABLE FOR INCORPORATION IN VEHICLES, AIRCRAFT, SPACECRAFT OR VESSELS"
126,701939,"GLASS MATTRESSES, BOARDS AND SIMILAR NONWOVEN PRODUCTS NESOI"
127,731814,"SELF-TAPPING SCREWS, THREADED, OF IRON OR STEEL"
128,630619,"TARPAULINS, AWNINGS AND SUNBLINDS, OF TEXTILE MATERIALS NESOI"
129,721030,"FLAT-ROLLED PRODUCTS OF IRON OR NONALLOY STEEL, WIDTH OF 600MM OR MORE, ELECTROLYTICALLY PLATED OR COATED WITH ZINC"
130,490300,"CHILDREN'S PICTURE, DRAWING OR COLORING BOOKS"
131,480890,"PAPER AND PAPERBOARD, NESOI, CREPED, CRINKLED, EMBOSSED OR PERFORATED, IN ROLLS OR SHEETS"
132,521221,"WOVEN FABRICS OF COTTON, LESS THAN 85% COTTON BY WEIGHT NESOI, UNBLEACHED, WEIGHING OVER 200 G/M2"
133,930190,"MILITARY WEAPONS, OTHER THAN REVOLVERS, PISTOLS AND THE ARMS OF HEADING 9307, NESOI"
134,900850,"IMAGE AND PHOTOGRAPHIC PROJECTORS, ENLARGERS AND REDUCERS, OTHER THAN CINEMATOGRAPHIC"
135,950450,"VIDEO GAME CONSOLES AND MACHINES, OTHER THAN THOSE OF SUBHEADING 9504.30"
136,842389,"WEIGHING MACHINERY, NESOI, HAVING A MAXIMUM WEIGHING CAPACITY EXCEEDING 5,000 KG"
137,846249,"PUNCHING, NOTCHING OR NIBBLING MACHINES FOR FLAT METAL PRODUCTS INCLUDING COMBINED PUNCHING AND SHEARING MACHINES, NESOI"
138,853090,"PARTS FOR ELECTRICAL SIGNALING, SAFETY OR TRAFFIC CONTROL EQUIPMENT FOR RAIL LINES, ROADS, WATERWAYS, PARKING AREAS, PORT INSTALLATIONS OR AIRFIELDS"
139,847940,ROPE OR CABLE-MAKING MACHINES
140,853221,"FIXED CAPACITORS NESOI, TANTALUM ELECTROLYTIC"
141,030343,"SKIPJACK TUNA (STRIPE-BELLIED BONITO) (KATSUWONUS PELAMIS), FROZEN, EXCLUDING FISH FILLETS AND OTHER FISH MEAT OF HEADING 0304"
142,080590,"CITRUS FRUIT, INCLUDING KUMQUATS, CITRONS AND BERGAMOTS, NESOI, FRESH OR DRIED"
143,292149,AROMATIC MONOAMINES AND THEIR DERIVATIVES NESOI; SALTS THEREOF
144,380910,"FINISHING AGENTS, DYE CARRIERS AND DRESSINGS USED IN THE TEXTILE, PAPER ETC. INDUSTRIES, WITH A BASIS OF AMYLACEOUS SUBSTANCES"
145,391910,"PLATES, SHEETS, FILM, FOIL, TAPE AND OTHER FLAT SHAPES OF PLASTICS, SELF-ADHESIVE, IN ROLLS NOT OVER 20 CM (8 IN.) WIDE"
146,390940,"PHENOLIC RESINS, IN PRIMARY FORMS"
147,721691,"ANGLES, SHAPES AND SECTIONS, IRON OR NONALLOY STEEL, OTHER COLD-FORMED OR COLD-FINISHED FROM FLAT-ROLLED PRODUCTS"
148,630231,"BED LINEN (OTHER THAN PRINTED) OF COTTON, NOT KNITTED OR CROCHETED"
149,731439,"OTHER GRILL, NETTING AND FENCING WELDED AT THE INTERSECTION OF IRON OR STEEL OTHER THAN GALVANIZED STEEL"
150,701990,GLASS FIBERS AND ARTICLES THEREOF NESOI
151,732611,"GRINDING BALLS AND SIMILAR ARTICLES FOR MILLS, FORGED OR STAMPED, BUT NOT FURTHER WORKED, OF IRON OR STEEL"
152,611521,"PANTY HOSE AND TIGHTS, OF SYNTHETIC FIBERS, MEASURING PER SINGLE YARN LESS THAN 67 DECITEX, NESOI"
153,760521,"ALUMINUM ALLOY WIRE, WITH A MAXIMUM CROSS SECTIONAL DIMENSION OF OVER 7 MM"
154,440140,SAWDUST AND WOOD WASTE AND SCRAP NOT AGGLOMERATED
155,520932,"WOVEN FABRICS OF COTTON, 85% OR MORE COTTON BY WEIGHT, DYED, 3-THREAD OR 4-THREAD TWILL, INCLUDING CROSS TWILL, WEIGHING OVER 200 G/M2"
156,551694,"WOVEN FABRICS OF ARTIFICIAL STAPLE FIBERS, CONTAINING UNDER 85% (WT.) OF SUCH FIBERS, MIXED WITH OTHER FIBERS NESOI, PRINTED"
157,860110,RAIL LOCOMOTIVES POWERED FROM AN EXTERNAL SOURCE OF ELECTRICITY
158,940429,MATTRESSES OF OTHER THAN CELLULAR RUBBER OR PLASTICS
159,870322,"PASSENGER MOTOR VEHICLES WITH SPARK-IGNITION INTERNAL COMBUSTION RECIPROCATING PISTON ENGINE, CYLINDER CAPACITY OVER 1,000 CC BUT NOT OVER 1,500 CC"
160,020760,"MEAT AND EDIBLE OFFAL OF GUINEA FOWLS, FRESH, CHILLED OR FROZEN"
161,030462,"CATFISH (PANGASIUS SPP., SILURUS SPP., CLARIAS SPP., ICTALURUS SPP.) FILLETS, FROZEN"
162,090931,"CUMIN SEEDS, NEITHER CRUSHED NOR GROUND"
163,220300,BEER MADE FROM MALT
164,283691,LITHIUM CARBONATES
165,290943,MONOBUTYL ETHERS OF ETHYLENE GLYCOL OR OF DIETHYLENE GLYCOL
166,350190,CASEINATES AND OTHER CASEIN DERIVATIVES; CASEIN GLUES
167,382450,NONREFRACTORY MORTARS AND CONCRETES
168,390461,"POLYTETRAFLUOROETHYLENE (PTFE), IN PRIMARY FORMS"
169,790500,"ZINC PLATES, SHEETS, STRIP AND FOIL"
170,600610,"KNITTED OR CROCHETED FABRICS NESOI, OF WOOL OR FINE ANIMAL HAIR"
171,701919,"GLASS FIBERS (INCLUDING GLASS WOOL) AND ARTICLES THEREOF (FOR EXAMPLE, YARN, WOVEN FABRICS), N.E.S.O.I."
172,731441,"GRILL, NETTING AND FENCING OF IRON OR STEEL WIRE NESOI, PLATED OR COATED WITH ZINC"
173,720250,FERROSILICON CHROMIUM
174,721190,"FLAT-ROLLED IRON OR NONALLOY STEEL PRODUCTS, UNDER 600 MM WIDE, NOT CLAD, PLATED OR COATED, NESOI"
175,420211,"TRUNKS, SUITCASES, VANITY CASES AND SIMILAR CONTAINERS, WITH OUTER SURFACE OF LEATHER OR OF COMPOSITION LEATHER"
176,551412,"WOVEN FABRICS OF POLYESTER STAPLE FIBERS, UNDER 85% (WT.) OF SUCH FIBERS, UNBLEACHED OR BLEACHED, 3- OR 4-THREAD TWILL, WITH COTTON, OVER 170 G/M2"
177,940153,SEATS OF RATTAN
178,900640,INSTANT PRINT CAMERAS
179,960200,"WORKED VEGETABLE OR MINERAL CARVING MATERIALS ETC.; MOLDED OR CARVED ARTICLES OF WAX, STEARIN, GUM, RESIN ETC. NESOI; UNHARDENED GELATIN AND ARTICLES"
180,960310,"BROOMS AND BRUSHES, CONSISTING OF TWIGS OR OTHER VEGETABLE MATERIALS BOUND TOGETHER, WITH OR WITHOUT HANDLES"
181,903210,THERMOSTATS
182,910221,"WRIST WATCHES, NOT BATTERY POWERED, WITH CASES OF MATERIALS (EXCEPT OF OR CLAD WITH PRECIOUS METAL) NESOI, WITH AUTOMATIC WINDING"
183,910400,"INSTRUMENT PANEL CLOCKS AND CLOCKS OF A SIMILAR TYPE FOR VEHICLES, AIRCRAFT, SPACECRAFT OR VESSELS"
184,820520,"HAMMERS AND SLEDGE HAMMERS AND PARTS THEREOF, OF BASE METAL"
185,842710,SELF-PROPELLED LIFTING OR HANDLING TRUCKS POWERED BY AN ELECTRIC MOTOR
186,831130,"COATED RODS AND CORED WIRE, OF BASE METAL, FOR SOLDERING, BRAZING OR WELDING BY FLAME"
187,846792,PARTS OF PNEUMATIC TOOLS FOR WORKING IN THE HAND
188,852849,"CATHODE-RAY TUBE MONITORS, NOT INCORPORATING TELEVISION RECEPTION APPARATUS, NESOI"
189,841011,"HYDRAULIC TURBINES AND WATER WHEELS, OF A POWER NOT EXCEEDING 1,000 KW"
190,847810,"MACHINERY FOR PREPARING OR MAKING UP TOBACCO, NESOI"
191,845180,"MACHINERY FOR FINISHING, COATING OR IMPREGNATING TEXTILES YARNS, FABRICS OR MADE UP TEXTILE ARTICLES; MACHINES FOR APPLYING PASTE TO BASE FABRICS ETC."
192,060230,"RHODODENDRONS AND AZALEAS, GRAFTED OR NOT"
193,070610,"CARROTS AND TURNIPS, FRESH OR CHILLED"
194,100510,"CORN (MAIZE) SEED, CERTIFIED, EXCLUDING SWEET CORN"
195,121020,"HOP CONES, GROUND, POWDERED OR IN THE FORM OF PELLETS; LUPULIN"
196,121293,SUGAR CANE
197,160553,"MUSSELS, PREPARED OR PRESERVED"
198,220429,"WINE OF FRESH GRAPES (OTHER THAN SPARKLING WINE) AND GRAPE MUST WITH FERMENTATION PREVENTED, ETC. BY ADDING ALCOHOL, CONTAINERS HOLDING OVER 10 LITERS"
199,250830,"FIRE CLAY, WHETHER OR NOT CALCINED"
200,281511,"SODIUM HYDROXIDE (CAUSTIC SODA), SOLID"
201,290542,PENTAERYTHRITOL
202,290611,MENTHOL
203,320910,"PAINTS AND VARNISHES (INCLUDING ENAMELS AND LACQUERS) BASED ON SYNTHETIC AND OTHER POLYMERS IN AN AQUEOUS MEDIUM, BASED ON ACRYLIC OR VINYL POLYMERS"
204,391810,FLOOR COVERINGS AND WALL OR CEILING COVERINGS OF VINYL CHLORIDE POLYMERS
205,390710,"POLYACETALS, IN PRIMARY FORMS"
206,620343,"MEN'S OR BOYS' TROUSERS, BIB AND BRACE OVERALLS, BREECHES AND SHORTS OF SYNTHETIC FIBERS, NOT KNITTED OR CROCHETED"
207,620412,"WOMEN'S OR GIRLS' SUITS OF COTTON, NOT KNITTED OR CROCHETED"
208,691200,"CERAMIC TABLEWARE, KITCHENWARE, OTHER HOUSEHOLD AND TOILET ARTICLES, OTHER THAN OF PORCELAIN OR CHINA"
209,700210,"GLASS BALLS (EXCEPT MICROSHERES NOT OVER 1 MM IN DIAMETER), UNWORKED"
210,700529,"FLOAT GLASS AND SURFACE GROUND OR POLISHED GLASS, IN NONWIRED SHEETS, NESOI"
211,620899,"WOMEN'S OR GIRLS' UNDERSHIRTS, BRIEFS, PANTIES, BATHROBES, DRESSING GOWNS AND SIMILAR ARTICLES OF TEXTILE MATERIALS NESOI, NOT KNITTED OR CROCHETED"
212,621139,"MEN'S OR BOYS' GARMENTS NESOI OF TEXTILE MATERIALS NESOI, NOT KNITTED OR CROCHETED"
213,610322,"MEN'S OR BOYS' ENSEMBLES OF COTTON, KNITTED OR CROCHETED"
214,610821,"WOMEN'S OR GIRLS' BRIEFS AND PANTIES OF COTTON, KNITTED OR CROCHETED"
215,721510,"BARS AND RODS OF FREE-CUTTING NONALLOY STEEL, OLD-FORMED OR COLD-FINISHED"
216,761210,"ALUMINUM COLLAPSIBLE TUBULAR CONTAINERS, OF A CAPACITY NOT OVER 300 LITERS (79.30 GAL.)"
217,520524,"COTTON YARN NESOI, 85% OR MORE BY WEIGHT OF COTTON, NOT PUT UP FOR RETAIL SALE, SINGLE COMBED YARN, OVER 52 NM BUT NOT OVER 80 NM"
218,460121,"MATS, MATTING AND SCREENS, OF BAMBOO"
219,460211,"BASKETWORK, WICKERWORK AND OTHER ARTICLES, OF BAMBOO"
220,854449,"INSULATED ELECTRIC CONDUCTORS, FOR A VOLTAGE NOT EXCEEDING 80 V, NOT FITTED WITH CONNECTORS"
221,960400,HAND SIEVES AND HAND RIDDLES
222,820420,"SOCKET WRENCHES WITH OR WITHOUT HANDLES, DRIVES AND EXTENSIONS, AND PARTS THEREOF, OF BASE METAL"
223,847432,MACHINES FOR MIXING MINERAL SUBSTANCES WITH BITUMEN
224,845510,METAL-ROLLING TUBE MILLS
225,030345,"ATLANTIC AND PACIFIC BLUEFIN TUNAS (THUNNUS THYNNUS, THUNNUS ORIENTALIS), FROZEN"
226,030443,"FLAT FISH (PLEURONECTIDAE, BOTHIDAE, CYNOGLOSSIDAE, SOLEIDAE, SCOPHTHALMIDAE AND CITHARIDAE) FILLETS, FRESH OR CHILLED"
227,030811,"SEA CUCUMBERS (STICHOPUS JAPONICUS, HOLOTHURIOIDEA), LIVE, FRESH OR CHILLED"
228,071450,"YAUTIA (XANTHOSOMA SPP.), FRESH, CHILLED, FROZEN OR DRIED"
229,080252,"PISTACHIOS, SHELLED, FRESH OR DRIED"
230,150410,"FISH-LIVER OILS AND THEIR FRACTIONS, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED"
231,151710,"MARGARINE, EXCLUDING LIQUID MARGARINE"
232,220890,"SPIRITUOUS BEVERAGES, NESOI, INCLUDING CORDIALS, LIQUEURS, KIRSHWASSER, RATAFIA AND VODKA"
233,270112,"BITUMINOUS COAL, WHETHER OR NOT PULVERIZED, BUT NOT AGGLOMERATED"
234,284590,"STABLE (NONRADIOACTIVE) ISOTOPES; COMPOUNDS, INORGANIC OR ORGANIC, OF SUCH ISOTOPES, WHETHER OR NOT CHEMICALLY DEFINED, NESOI"
235,291419,"ACYCLIC KETONES WITHOUT OTHER OXYGEN FUNCTION, NESOI"
236,391290,"CELLULOSE AND ITS CHEMICAL DERIVATIVES NESOI, IN PRIMARY FORMS"
237,700231,"TUBES OF FUSED QUARTZ OR OTHER FUSED SILICA, UNWORKED"
238,600191,"PILE FABRICS NESOI, KNITTED OR CROCHETED, OF COTTON"
239,600632,"KNITTED OR CROCHETED FABRICS, OF SYNTHETIC FIBERS, DYED, NESOI"
240,711041,"IRIDIUM, OSMIUM AND RUTHENIUM, UNWROUGHT OR IN POWDER FORM"
